country,year,month,month_year,best
Myanmar,2024,12,202412,172
Somalia,2018,1,201801,95
Somalia,2018,2,201802,151
Somalia,2018,3,201803,244
Somalia,2018,4,201804,240
Somalia,2018,5,201805,192
Somalia,2018,6,201806,285
Somalia,2018,7,201807,175
Somalia,2018,8,201808,99
Somalia,2018,9,201809,244
Somalia,2018,10,201810,218
Somalia,2018,11,201811,300
Somalia,2018,12,201812,264
Somalia,2019,1,201901,387
Somalia,2019,2,201902,319
Somalia,2019,3,201903,144
Somalia,2019,4,201904,21
Somalia,2019,5,201905,213
Somalia,2019,6,201906,134
Somalia,2019,7,201907,212
Somalia,2019,8,201908,133
Somalia,2019,9,201909,211
Somalia,2019,10,201910,134
Somalia,2019,11,201911,41
Somalia,2019,12,201912,270
Somalia,2020,1,202001,247
Somalia,2020,2,202002,151
Somalia,2020,3,202003,278
Somalia,2020,4,202004,134
Somalia,2020,5,202005,187
Somalia,2020,6,202006,168
Somalia,2020,7,202007,88
Somalia,2020,8,202008,184
Somalia,2020,9,202009,188
Somalia,2020,10,202010,224
Somalia,2020,11,202011,153
Somalia,2020,12,202012,118
Somalia,2021,1,202101,156
Somalia,2021,2,202102,122
Somalia,2021,3,202103,184
Somalia,2021,4,202104,276
Somalia,2021,5,202105,285
Somalia,2021,6,202106,442
Somalia,2021,7,202107,222
Somalia,2021,8,202108,291
Somalia,2021,9,202109,35
Somalia,2021,10,202110,68
Somalia,2021,11,202111,76
Somalia,2021,12,202112,112
Somalia,2022,1,202201,179
Somalia,2022,2,202202,176
Somalia,2022,3,202203,131
Somalia,2022,4,202204,67
Somalia,2022,5,202205,111
Somalia,2022,6,202206,139
Somalia,2022,7,202207,223
Somalia,2022,8,202208,224
Somalia,2022,9,202209,469
Somalia,2022,10,202210,606
Somalia,2022,11,202211,488
Somalia,2022,12,202212,302
Somalia,2023,1,202301,616
Somalia,2023,2,202302,1084
Somalia,2023,3,202303,151
Somalia,2023,4,202304,75
Somalia,2023,5,202305,318
Somalia,2023,6,202306,226
Somalia,2023,7,202307,495
Somalia,2023,8,202308,391
Somalia,2023,9,202309,450
Somalia,2023,10,202310,201
Somalia,2023,11,202311,8
Somalia,2023,12,202312,201
Somalia,2024,1,202401,434
Somalia,2024,2,202402,159
Somalia,2024,3,202403,283
Somalia,2024,4,202404,228
Somalia,2024,5,202405,42
Somalia,2024,6,202406,279
Somalia,2024,7,202407,269
Somalia,2024,8,202408,156
Somalia,2024,9,202409,89
Somalia,2024,10,202410,280
Somalia,2024,11,202411,106
Somalia,2024,12,202412,189
South Sudan,2018,1,201801,44
South Sudan,2018,2,201802,168
South Sudan,2018,3,201803,39
South Sudan,2018,4,201804,291
South Sudan,2018,5,201805,103
South Sudan,2018,6,201806,117
South Sudan,2018,7,201807,153
South Sudan,2018,8,201808,52
South Sudan,2018,9,201809,58
South Sudan,2018,10,201810,117
South Sudan,2018,11,201811,30
South Sudan,2018,12,201812,57
South Sudan,2019,1,201901,105
South Sudan,2019,2,201902,64
South Sudan,2019,3,201903,73
South Sudan,2019,4,201904,97
South Sudan,2019,5,201905,54
South Sudan,2019,6,201906,4
South Sudan,2019,7,201907,34
South Sudan,2019,8,201908,91
South Sudan,2019,9,201909,27
South Sudan,2019,10,201910,14
South Sudan,2019,11,201911,79
South Sudan,2019,12,201912,0
South Sudan,2020,1,202001,54
South Sudan,2020,2,202002,21
South Sudan,2020,3,202003,35
South Sudan,2020,4,202004,21
South Sudan,2020,5,202005,328
South Sudan,2020,6,202006,83
South Sudan,2020,7,202007,141
South Sudan,2020,8,202008,28
South Sudan,2020,9,202009,24
